ID,GENDER,MARR,RELIBIL,FAMINC,PERSINC,RESID,FATEDU,UNNES,ENTER,JOBEXP,READ,SPORT,COMP,ENG,VOUL,SOCMED,FRI,science,politics,culture,religon,others,nothing,FAMCOM,EDUCOM
001,1,1,2,30,0,3,3,۵۰ الی ۷۰ درصد,۱ الی ۳ میلیون تومان,1,یک تا سه ساعت,در حد متوسط,2,متوسط,متوسط,۱ تا ۳ ساعت,متوسط,علمی,,فرهنگی,,,,1,3
002,1,1,3,60,0,4,2,۳۰ الی ۵۰ درصد,۱ الی ۳ میلیون تومان,1,زیر یکساعت,در حد مبتدی,1,متوسط,خوب,۱ تا ۳ ساعت,متوسط,,,فرهنگی,,,,2,4
003,1,1,3,15,0,2,1,۳۰ الی ۵۰ درصد,زیر ۱ میلیون تومان,3,زیر یکساعت,در حد مبتدی,1,در حد کم,ضعیف,بالای ۵ ساعت,زیاد,,,,,,هیچکدام,1,2
004,1,1,2,17.5,0,3,1,۷۰ الی ۱۰۰ درصد,زیر ۱ میلیون تومان,1,بالای هفت ساعت...,در حد مبتدی,3,عالی,متوسط,۱ تا ۳ ساعت,متوسط,علمی,,,,,,2,3
005,1,1,3,14,0,3,3,۵۰ الی ۷۰ درصد,زیر ۱ میلیون تومان,1,زیر یکساعت,در حد مبتدی,1,متوسط,متوسط,۱ تا ۳ ساعت,زیاد,,,,,سایر,,1,2
006,1,1,3,12,0,3,3,۷۰ الی ۱۰۰ درصد,زیر ۱ میلیون تومان,1,سه تا هفت,در حد مبتدی,1,زیاد,ضعیف,بالای ۵ ساعت,کم,,,,,,هیچکدام,3,2
007,1,1,5,40,0,4,3,۳۰ الی ۵۰ درصد,۱ الی ۳ میلیون تومان,1,یک تا سه ساعت,در حد مبتدی,2,عالی,متوسط,۱ تا ۳ ساعت,زیاد,,,,,,هیچکدام,1,4
008,2,1,1,25,0,3,2,۱۰ الی ۳۰ درصد,۱ الی ۳ میلیون تومان,3,یک تا سه ساعت,بله ، در حد عالی,,عالی,خوب,۱ تا ۳ ساعت,زیاد,,,,,,هیچکدام,1,5
009,1,1,3, ,0,3,5,۵۰ الی ۷۰ درصد,۳ الی ۵ میلیون تومان,1,زیر یکساعت,در حد متوسط,1,در حد کم,متوسط,۱ تا ۳ ساعت,متوسط,,,,,,هیچکدام,1,5
010,1,1,3,40,7.5,3,1,۵۰ الی ۷۰ درصد,۱ الی ۳ میلیون تومان,2,یک تا سه ساعت,در حد مبتدی,2,در حد کم,خوب,۳ تا ۵ ساعت,متوسط,,,,,,هیچکدام,2,4
011,1,1,3,18,0,3,2,۷۰ الی ۱۰۰ درصد,زیر ۱ میلیون تومان,1,یک تا سه ساعت,در حد مبتدی,1,متوسط,متوسط,۱ تا ۳ ساعت,متوسط,علمی,,,,,,1,4
012,2,1,4,20,0,4,2,۵۰ الی ۷۰ درصد,زیر ۱ میلیون تومان,2,یک تا سه ساعت,بله ، در حد عالی,3,در حد کم,خوب,۱ تا ۳ ساعت,زیاد,علمی,,فرهنگی,مذهبی,سایر,,1,5
013,1,1,5,25,0,4,2,۵۰ الی ۷۰ درصد,زیر ۱ میلیون تومان,1,یک تا سه ساعت,خیر ، فاقد مهارت ورزشی,2,عالی,ضعیف,۳ تا ۵ ساعت,زیاد,علمی,,,,,,1,4
014,1,1,2,50,0,4,3,۵۰ الی ۷۰ درصد,۱ الی ۳ میلیون تومان,1,یک تا سه ساعت,در حد متوسط,1,متوسط,خوب,۳ تا ۵ ساعت,زیاد,,,,,,هیچکدام,1,5
015,2,1,4,40,0,5,2,۵۰ الی ۷۰ درصد,زیر ۱ میلیون تومان,2,بالای هفت ساعت...,در حد متوسط,2,متوسط,خوب,۱ تا ۳ ساعت,متوسط,,,,,,هیچکدام,2,5
016,1,1,5,14,0,3,2,۷۰ الی ۱۰۰ درصد,زیر ۱ میلیون تومان,1,یک تا سه ساعت,در حد متوسط,1,در حد کم,خوب,۳ تا ۵ ساعت,متوسط,,,,,,هیچکدام,1,4
017,1,1,3,70,0,3,4,۷۰ الی ۱۰۰ درصد,۳ الی ۵ میلیون تومان,2,یک تا سه ساعت,در حد متوسط,3,زیاد,خوب,۳ تا ۵ ساعت,زیاد,علمی,سیاسی,فرهنگی,مذهبی,,,1,4
018,1,1,4,40,0,3,3,۷۰ الی ۱۰۰ درصد,۱ الی ۳ میلیون تومان,1,سه تا هفت,خیر ، فاقد مهارت ورزشی,2,متوسط,متوسط,بالای ۵ ساعت,زیاد,,,,,,هیچکدام,1,4
019,1,1,3,100,0,3,3,۷۰ الی ۱۰۰ درصد,۱ الی ۳ میلیون تومان,1,زیر یکساعت,خیر ، فاقد مهارت ورزشی,1,متوسط,ضعیف,۱ تا ۳ ساعت,خیلی کم,,,,,,هیچکدام,1,3
020,1,1,3,50,0,4,3,۵۰ الی ۷۰ درصد,۳ الی ۵ میلیون تومان,1,یک تا سه ساعت,در حد متوسط,1,عالی,خوب,۳ تا ۵ ساعت,متوسط,علمی,,فرهنگی,,,,1,3
021,1,1,3,15,0,3,2,۳۰ الی ۵۰ درصد,۱ الی ۳ میلیون تومان,1,سه تا هفت,در حد متوسط,1,در حد کم,متوسط,۳ تا ۵ ساعت,متوسط,,,,,سایر,,1,4
022,2,1,3,35,0,3,5,۵۰ الی ۷۰ درصد,۱ الی ۳ میلیون تومان,1,یک تا سه ساعت,در حد مبتدی,3,متوسط,ضعیف,۱ تا ۳ ساعت,خیلی کم,,,,,,هیچکدام,3,4
023,2,1,3,35,0,3,2,۱۰ الی ۳۰ درصد,۱ الی ۳ میلیون تومان,2,زیر یکساعت,بله ، در حد عالی,3,در حد کم,خیلی ضعیف,۱ تا ۳ ساعت,متوسط,,,,,,هیچکدام,2,4
024,1,1,5,15,0,3,2,۷۰ الی ۱۰۰ درصد,زیر ۱ میلیون تومان,1,یک تا سه ساعت,در حد متوسط,1,متوسط,خوب,۱ تا ۳ ساعت,کم,,,,,,هیچکدام,1,2
025,1,1,4,10,0,3,2,۱۰ الی ۳۰ درصد,زیر ۱ میلیون تومان,1,یک تا سه ساعت,خیر ، فاقد مهارت ورزشی,1,زیاد,متوسط,۱ تا ۳ ساعت,زیاد,,,,مذهبی,,,2,3
026,2,1,3,100,50,3,4,۳۰ الی ۵۰ درصد,بالای ۵ میلیون تومان,2,سه تا هفت,بله ، در حد عالی,3,زیاد,خوب,۱ تا ۳ ساعت,متوسط,علمی,,,,,هیچکدام,1,4
027,1,1,3,40,0,3,2,۳۰ الی ۵۰ درصد,۱ الی ۳ میلیون تومان,1,بالای هفت ساعت...,خیر ، فاقد مهارت ورزشی,2,زیاد,متوسط,بالای ۵ ساعت,زیاد,علمی,,فرهنگی,مذهبی,,,1,4
028,1,1,5,50,0,3,3,۷۰ الی ۱۰۰ درصد,زیر ۱ میلیون تومان,2,زیر یکساعت,در حد متوسط,1,در حد کم,خیلی ضعیف,۱ تا ۳ ساعت,خیلی کم,,,,,,هیچکدام,3,2
029,1,1,4,100,5,3,4,۱۰ الی ۳۰ درصد,۳ الی ۵ میلیون تومان,1,زیر یکساعت,بله ، در حد عالی,2,زیاد,ضعیف,۳ تا ۵ ساعت,متوسط,,,,,,هیچکدام,3,3
030,1,1,5,60,0,3,4,۳۰ الی ۵۰ درصد,زیر ۱ میلیون تومان,1,یک تا سه ساعت,خیر ، فاقد مهارت ورزشی,2,متوسط,خوب,۱ تا ۳ ساعت,زیاد,علمی,,فرهنگی,مذهبی,سایر,,1,3
031,1,1,3,,۰۰۰,3,3,۷۰ الی ۱۰۰ درصد,زیر ۱ میلیون تومان,2,زیر یکساعت,در حد متوسط,1,فاقد آشنایی,ضعیف,۳ تا ۵ ساعت,خیلی کم,,,,,,هیچکدام,3,2
